iter	Passed	Remaining
0	52	52448
1	52	26431
2	53	17722
3	53	13351
4	53	10740
5	54	9009
6	54	7772
7	55	6829
8	55	6095
9	55	5509
10	55	5027
11	56	4626
12	56	4289
13	56	3999
14	57	3750
15	57	3533
16	57	3339
17	58	3167
18	58	3011
19	58	2870
20	58	2743
21	59	2627
22	59	2521
23	59	2424
24	59	2335
25	60	2252
26	60	2177
27	60	2111
28	61	2051
29	61	1991
30	61	1933
31	62	1878
32	62	1827
33	62	1780
34	62	1734
35	63	1691
36	63	1652
37	63	1614
38	64	1580
39	64	1547
40	64	1515
41	65	1486
42	65	1458
43	65	1431
44	66	1404
45	66	1379
46	66	1354
47	67	1331
48	67	1309
49	67	1288
50	68	1267
51	68	1247
52	68	1226
53	68	1207
54	69	1188
55	69	1170
56	69	1153
57	69	1136
58	70	1120
59	70	1105
60	70	1090
61	71	1076
62	71	1063
63	71	1049
64	72	1036
65	72	1023
66	72	1010
67	72	997
68	73	985
69	73	974
70	73	962
71	73	952
72	74	943
73	74	934
74	74	924
75	75	914
76	75	905
77	75	896
78	76	887
79	76	878
80	76	869
81	77	862
82	77	853
83	77	845
84	77	838
85	78	831
86	78	824
87	78	817
88	79	809
89	79	803
90	79	796
91	80	790
92	80	785
93	80	779
94	81	774
95	81	768
96	81	762
97	81	754
98	82	748
99	82	742
100	82	736
101	83	731
102	83	725
103	83	719
104	83	714
105	84	709
106	84	704
107	84	699
108	84	694
109	85	690
110	85	685
111	85	680
112	86	675
113	86	671
114	86	666
115	86	662
116	87	659
117	87	655
118	88	651
119	88	647
120	88	643
121	88	639
122	89	635
123	89	631
124	89	627
125	89	623
126	90	619
127	90	615
128	90	612
129	90	608
130	91	605
131	91	601
132	91	598
133	92	595
134	92	592
135	92	589
136	93	586
137	93	583
138	93	580
139	94	578
140	94	577
141	95	575
142	95	572
143	95	569
144	96	566
145	96	563
146	96	560
147	96	557
148	96	553
149	97	550
150	97	548
151	97	545
152	97	542
153	98	540
154	98	537
155	98	535
156	99	532
157	99	530
158	99	527
159	100	525
160	100	522
161	100	520
162	100	518
163	101	516
164	101	514
165	101	511
166	102	509
167	102	506
168	102	504
169	102	502
170	103	500
171	103	498
172	103	495
173	103	493
174	104	491
175	104	489
176	104	487
177	105	484
178	105	482
179	105	481
180	105	479
181	106	477
182	106	476
183	106	474
184	107	472
185	107	470
186	107	468
187	108	467
188	108	465
189	108	463
190	109	462
191	109	460
192	109	458
193	109	456
194	110	454
195	110	452
196	110	450
197	110	449
198	111	447
199	111	445
200	111	443
201	111	442
202	112	440
203	112	438
204	112	436
205	112	435
206	113	433
207	113	431
208	113	430
209	113	428
210	114	427
211	114	425
212	114	424
213	115	422
214	115	421
215	115	419
216	115	418
217	116	416
218	116	414
219	116	413
220	116	411
221	117	410
222	117	409
223	117	407
224	117	406
225	118	404
226	118	403
227	118	401
228	118	400
229	119	399
230	119	397
231	119	396
232	120	395
233	120	394
234	120	393
235	121	392
236	121	391
237	121	390
238	122	389
239	122	387
240	122	386
241	123	385
242	123	383
243	123	382
244	123	381
245	124	380
246	124	380
247	124	379
248	125	377
249	125	376
250	125	375
251	126	375
252	126	374
253	127	373
254	127	372
255	127	371
256	128	371
257	128	370
258	129	369
259	129	368
260	129	367
261	130	368
262	131	367
263	131	367
264	132	366
265	133	367
266	133	366
267	133	365
268	134	365
269	134	364
270	135	364
271	135	363
272	136	362
273	136	361
274	136	360
275	137	359
276	137	358
277	137	357
278	137	356
279	138	355
280	138	354
281	138	353
282	139	352
283	139	351
284	139	350
285	140	349
286	140	348
287	140	347
288	140	346
289	141	345
290	141	344
291	141	344
292	142	343
293	142	342
294	142	341
295	143	340
296	143	339
297	143	338
298	143	337
299	144	336
300	144	335
301	144	334
302	145	333
303	145	332
304	145	331
305	145	330
306	146	329
307	146	328
308	146	327
309	146	326
310	147	325
311	147	324
312	147	323
313	147	323
314	148	322
315	148	321
316	149	321
317	149	320
318	149	319
319	150	319
320	150	318
321	150	317
322	151	318
323	152	317
324	152	316
325	152	316
326	153	315
327	153	315
328	154	314
329	154	313
330	154	312
331	155	312
332	155	311
333	155	310
334	156	310
335	156	309
336	156	308
337	157	308
338	157	307
339	157	306
340	158	305
341	158	304
342	158	304
343	159	303
344	159	302
345	159	301
346	159	300
347	160	300
348	160	299
349	160	298
350	161	298
351	161	297
352	161	296
353	162	296
354	162	296
355	163	295
356	163	294
357	163	294
358	164	293
359	164	292
360	164	291
361	165	291
362	165	290
363	165	289
364	166	288
365	166	288
366	166	287
367	166	286
368	167	286
369	167	285
370	167	284
371	168	283
372	168	283
373	168	282
374	169	282
375	169	282
376	170	281
377	170	280
378	171	280
379	171	279
380	171	278
381	171	278
382	172	277
383	172	276
384	172	276
385	173	275
386	173	275
387	173	274
388	174	273
389	174	273
390	174	272
391	175	271
392	175	271
393	176	270
394	176	270
395	177	270
396	178	270
397	178	270
398	178	269
399	179	268
400	179	268
401	180	267
402	180	267
403	180	266
404	181	266
405	181	265
406	181	264
407	182	264
408	182	263
409	182	263
410	183	262
411	183	262
412	184	261
413	184	261
414	184	260
415	185	260
416	185	259
417	185	258
418	186	258
419	186	257
420	187	257
421	187	256
422	187	256
423	188	255
424	188	254
425	188	254
426	189	253
427	189	253
428	189	252
429	190	252
430	190	251
431	191	251
432	191	250
433	191	250
434	192	249
435	192	249
436	192	248
437	193	247
438	193	247
439	193	246
440	194	246
441	194	245
442	194	244
443	195	244
444	195	243
445	195	243
446	196	242
447	196	242
448	196	241
449	197	241
450	197	240
451	197	239
452	198	239
453	198	238
454	198	238
455	199	237
456	199	236
457	199	236
458	200	235
459	200	235
460	200	234
461	200	233
462	201	233
463	201	232
464	201	232
465	202	231
466	202	231
467	202	230
468	203	229
